TagID,LastObs,AssignSpawnSite,AssignSpawnNode,TagPath,FacilityName,LadCode,PassDate,PassTime,SppCode,CarcassNo,PitTag,JvPitTag,Status,Origin,Age,Sex,Forklgth,Pohlgth,Mehlgth,Weight,AdClip
3DD.003D2F97BB,2020-03-29T17:32:31Z,ROZ,ROZA0,"PRO, ROZA0, ROZB0",Prosser,pb,2019-10-08T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F97BB,NA,PAS,NA,NA,F,58,NA,49,4,NA
3DD.003D2F97BC,2020-04-29T00:55:37Z,TP2,TP2A0,"PRO, TOPB0, TOPA0, TP2B0, TP2A0, TP2B0, TOPA0, TOPB0, PRO",Prosser,pb,2019-11-25T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F97BC,NA,PAS,NA,NA,F,71,NA,58,6.1,NA
3DD.003D2F97BD,2020-04-10T21:42:18Z,LNR,LNR,"PRO, LNR",Prosser,pb,2019-11-13T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F97BD,NA,PAS,NA,NA,F,54,NA,47,1.56,NA
3DD.003D2F97BF,2020-04-21T00:13:36Z,AH1,AH1A0,"PRO, AH1A0, AH1B0, PRO",Prosser,pb,2019-10-18T00:00:00Z,-2209042080,wsth,NA,3DD.003D2F97BF,NA,PAS,NA,NA,F,51,NA,41,2.8,NA
3DD.003D2F97C0,2020-04-07T23:38:32Z,ROZ,ROZA0,"PRO, ROZB0, ROZA0, ROZB0, ROZA0",Prosser,pb,2019-10-04T00:00:00Z,-2209016880,wsth,NA,3DD.003D2F97C0,NA,PAS,NA,NA,F,60,NA,44,5.2,NA
3DD.003D2F97C4,2020-10-21T16:42:21Z,PRO,PRO,PRO,Prosser,pb,2019-10-02T00:00:00Z,-2209045680,wsth,NA,3DD.003D2F97C4,NA,PAS,NA,NA,F,60,NA,50,4.7,NA
3DD.003D2F97C5,2020-01-26T06:05:41Z,SAT,SATA0,"PRO, SATB0, SATA0",Prosser,pb,2019-12-13T00:00:00Z,-2209038480,wsth,NA,3DD.003D2F97C5,NA,PAS,NA,NA,M,80,NA,66,8.1,NA
3DD.003D2F97C7,2020-03-18T20:35:30Z,SUN,SUNA0,"PRO, SUNA0",Prosser,pb,2019-12-13T00:00:00Z,-2209034880,wsth,NA,3DD.003D2F97C7,NA,PAS,NA,NA,F,61,NA,50,4.3,NA
3DD.003D2F97C8,2019-10-27T14:18:51Z,PRO,PRO,PRO,Prosser,pb,2019-10-26T00:00:00Z,-2209013280,wsth,NA,3DD.003D2F97C8,NA,PAS,NA,NA,NA,77,NA,55,9.8,NA
3DD.003D2F97C9,2020-03-05T17:24:59Z,TP2,TP2A0,"PRO, TOPB0, TOPA0, TP2B0, TP2A0, TP2B0, TP2A0, TP2B0, TP2A0, TP2B0, TOPA0, TOPB0",Prosser,pb,2019-10-19T00:00:00Z,-2209013280,wsth,NA,3DD.003D2F97C9,NA,PAS,NA,NA,M,57,NA,41,3.75,NA
